"V1","location_name","date","allbed_mean","allbed_lower","allbed_upper","ICUbed_mean","ICUbed_lower","ICUbed_upper","InvVen_mean","InvVen_lower","InvVen_upper","deaths_mean","deaths_lower","deaths_upper","admis_mean","admis_lower","admis_upper","newICU_mean","newICU_lower","newICU_upper","totdea_mean","totdea_lower","totdea_upper","bedover_mean","bedover_lower","bedover_upper","icuover_mean","icuover_lower","icuover_upper","mobility_data_type","mobility_composite","total_tests_data_type","total_tests","confirmed_infections","est_infections_mean","est_infections_lower","est_infections_upper"
8184,"Delaware","2020-04-07",87.3378270168729,79.6490277777778,96.2329166666667,23.4288477796584,22.25,24.6002777777778,21.997884682105,21.05,23.05,2,2,2,17.1157563069627,13.99875,20.9473684210526,4.86518971443503,4.45,5.45,17,17,17,0,0,0,0,0,0,"observed",-55.2494308435427,"observed",797.360324533701,121.353605680668,962.519883789912,"649.512441258679","1733.33880057349"
8185,"Delaware","2020-04-08",96.4980688477415,88.9975,106.1525,26.0069534318451,24.6837719298246,27.2002631578947,24.4303106210095,23.3888888888889,25.5006578947368,2,2,2,17.1106212043589,13.8936184210526,21.1525,4.85686886924135,4.42105263157895,5.4,19,19,19,0,0,0,0,0,0,"observed",-55.3446182679913,"observed",833.804253875177,130.212739368144,1002.71595955422,"686.494741090802","1804.88618922946"
8186,"Delaware","2020-04-09",105.576553658278,97.2990789473684,115.50125,28.8864477693102,27.6991666666667,30.2673529411765,27.0754987295728,25.99875,28.2108187134503,3,3,3,17.068456416352,13.8947368421053,21.1002777777778,5.16741658912553,4.65,5.76944444444444,22,22,22,0,0,0,0,0,0,"observed",-55.4073109145555,"observed",842.670799954863,135.79950749904,1038.61020130083,"714.647134407694","1858.88562290982"
8187,"Delaware","2020-04-10",118.153972138964,108.75,128.20125,31.7531490145991,30.4370888157895,33.25,29.7097163491307,28.55,30.9010294117647,3,3,3,21.5008832835766,17.74875,26.1145833333333,6.14896445038879,5.64667182662539,6.72291666666667,25,25,25,0,0,0,0,0,0,"observed",-55.4217685071451,"observed",812.752018200212,138.599228006028,1076.03384659422,"736.399501498197","1923.59410418008"
8188,"Delaware","2020-04-11",126.741137393588,117.496710526316,137.00125,34.6221814893569,33.157697368421,36.1578947368421,32.3464131249126,31.2102631578947,33.6007894736842,4,4,4,21.4336650442566,17.6466718266254,25.8423026315789,6.15387439134223,5.65,6.8,29,29,29,0,0,0,0,0,0,"observed",-55.3736521665557,"observed",749.730449888126,139.484564364291,1123.38895145467,"756.879531315972","2011.91898681914"
8189,"Delaware","2020-04-12",134.971827186792,124.699166666667,145.2025,36.2261606667498,34.7368421052632,37.8508088235294,33.7798381090358,32.4993421052632,35.1767463235294,4,4,4,21.4665992244469,17.8,26.2028947368421,6.16886817302495,5.64953947368421,6.78973684210526,33,33,33,0,0,0,0,0,0,"observed",-55.2531231565023,"observed",673.379286700072,139.319521921657,1143.99876481034,"783.743464887498","2032.40613620771"
8190,"Delaware","2020-04-13",140.079189451948,129.845855263158,151.421637426901,38.3913290655939,36.75,40.1001315789474,35.6374404455709,34.2628289473684,37.05,4,4,4,21.4967602026843,17.7894736842105,26.20125,6.45075424638141,5.88888888888889,7.10540935672515,37,37,37,0,0,0,0,0,0,"observed",-55.0559969567256,"observed",604.553883962599,138.828878433044,1162.7005132228,"810.769921666888","2097.79185429707"
8191,"Delaware","2020-04-14",145.288626604738,135.051315789474,156.80625,40.5616231900452,38.8421052631579,42.3759191176471,37.5056686727187,36.0525657894737,38.95,4,4,4,21.4584922144634,17.6315789473684,25.90125,6.45238385991374,5.88872549019608,7.1,41,41,41,0,0,0,0,0,1.37591911764706,"observed",-54.7881669184633,"observed",555.014316882269,138.702097953436,1178.50561673551,"818.585866398484","2157.4794705108"
8192,"Delaware","2020-04-15",154.801652353924,144.69875,167.100131578947,43.7121494982271,41.9499342105263,45.55,40.3507561649221,38.9472953216374,41.9290413533835,5,5,5,25.7546144787875,21.5256578947368,30.85375,7.44298407675486,6.88791666666667,8.10526315789474,46,46,46,0,0,0,2.71214949822709,0.949934210526319,4.55,"observed",-54.4644763167023,"observed",525.788136144921,139.618575317874,1188.05252502945,"803.794456344917","2188.26824967513"
8193,"Delaware","2020-04-16",163.009488420051,151.749671052632,174.842105263158,45.893974526673,43.99875,47.842302631579,42.2202253857683,40.7368421052632,43.8508088235294,5,5,5,25.6723133050859,21.7493055555556,30.5263931888545,7.46528779287018,6.85,8.15,51,51,51,0,0,0,4.89397452667302,2.99875,6.84230263157895,"observed",-54.1027544211958,"observed",509.78742849403,142.076965772505,1178.27462804367,"792.010576489262","2211.78072753528"
8194,"Delaware","2020-04-17",168.447598792702,157.649926470588,180.850808823529,47.781682214161,45.8421052631579,49.8,43.8729452607291,42.25,45.55,5,5,5,25.7738252573837,21.8330882352941,30.7073529411765,7.46173491449211,6.9,8.1578947368421,56,56,56,0,0,0,6.78168221416097,4.8421052631579,8.8,"observed",-53.7202631320903,"observed",495.408019854332,146.169690137778,1180.97899767508,"762.930623284707","2233.9184911284"
8195,"Delaware","2020-04-18",178.214715512622,167.296666666667,190.305,50.9579900672212,48.9,53.25,46.7337449629447,45.1172058823529,48.5006578947368,5,5,5,30.0304876397253,25.469537815126,34.9025,8.74849237927965,8.11748366013072,9.5,61,61,61,0,0,0,9.95799006722122,7.9,12.25,"observed",-53.3327137969657,"observed",471.98134121808,151.574057052931,1175.09101193135,"713.372120823237","2312.10542403044"
